Sl. No.,State/UT,Cases Pending Trial from the Previous Year - ( Col. 3),Cases Sent for Trial during the year - ( Col. 4),Total Cases for Trial (Col.3+Col.4) - ( Col. 5),Cases Abated by Court - ( Col. 6),Cases Withdrawn from Prosecution - ( Col. 7),Cases Compounded or Compromised - ( Col. 8),Cases Disposed off by Plea Bargaining - ( Col. 9),Cases Quashed - ( Col. 10),Cases Disposed off without trial (Col.6+Col.7+Col.8+Col.9+Col.10) - ( Col. 11),Cases Stayed or Sent to Record Room - ( Col. 12),Cases Convicted Out of Cases from Previous Year - ( Col. 13),Cases Convicted Out of Cases during the Year - ( Col. 14),Cases Convicted (Col.13+Col.14) - ( Col. 15),Cases Discharged - ( Col. 16),Cases Acquitted - ( Col. 17),Cases in which Trials were Completed (Col.15+Col.16+ Col.17) - ( Col. 18),Cases Disposed off by Courts (Col.11+Col.18) - ( Col. 19),Cases Pending Trial at End of the Year (Col.5-Col.19) - ( Col. 20),Conviction Rate (Col.15/Col.18)*100 - ( Col. 21),Pendency Percentage (Col.20/Col.5)*100 - ( Col. 22)
1,Andhra Pradesh,59575,21180,80755,152,6,7340,0,33,7531,3,466,87,553,142,8855,9550,17081,63674,5.8,78.8
2,Arunachal Pradesh,3137,255,3392,3,0,20,1,3,27,0,23,1,24,8,38,70,97,3295,34.3,97.1
3,Assam,90075,11192,101267,227,5958,6355,1,0,12541,158,467,265,732,36,9066,9834,22375,78892,7.4,77.9
4,Bihar,115796,17370,133166,0,0,338,0,0,338,0,1114,171,1285,65,932,2282,2620,130546,56.3,98
5,Chhattisgarh,34270,5931,40201,65,0,70,95,0,230,3,773,191,964,625,2777,4366,4596,35605,22.1,88.6
6,Goa,1811,204,2015,6,0,11,0,0,17,0,13,1,14,9,111,134,151,1864,10.4,92.5
7,Gujarat,98357,6855,105212,15,9,23,0,52,99,5,425,51,476,180,6531,7187,7286,97926,6.6,93.1
8,Haryana,41260,8987,50247,9,0,0,0,218,227,12,779,39,818,29,5159,6006,6233,44014,13.6,87.6
9,Himachal Pradesh,9370,1146,10516,3,63,25,0,111,202,0,135,1,136,5,707,848,1050,9466,16,90
10,Jharkhand,30019,6353,36372,30,1,50,1,0,82,0,1215,469,1684,29,3781,5494,5576,30796,30.7,84.7
11,Karnataka,72455,16888,89343,80,0,338,0,129,547,23,394,34,428,18,12760,13206,13753,75590,3.2,84.6
12,Kerala,84532,14834,99366,152,0,34,0,490,676,105,893,130,1023,58,6411,7492,8168,91198,13.7,91.8
13,Madhya Pradesh,121682,25341,147023,43,0,2818,286,97,3244,71,5692,445,6137,1975,11471,19583,22827,124196,31.3,84.5
14,Maharashtra,271761,37416,309177,199,16,1332,0,116,1663,0,1182,112,1294,230,12024,13548,15211,293966,9.6,95.1
15,Manipur,1033,87,1120,8,0,0,0,0,8,0,12,0,12,0,12,24,32,1088,50,97.1
16,Meghalaya,3181,441,3622,13,1,1,0,0,15,0,88,3,91,35,87,213,228,3394,42.7,93.7
17,Mizoram,825,181,1006,2,0,6,0,0,8,3,97,16,113,4,45,162,170,836,69.8,83.1
18,Nagaland,248,39,287,0,0,0,0,0,0,0,4,6,10,0,2,12,12,275,83.3,95.8
19,Odisha,169572,18243,187815,43,10,21,4,23,101,0,615,55,670,0,9104,9774,9875,177940,6.9,94.7
20,Punjab,14989,4406,19395,5,0,0,0,110,115,46,553,45,598,58,2228,2884,2999,16396,20.7,84.5
21,Rajasthan,116630,23267,139897,21,148,484,1030,51,1734,2,3978,109,4087,1625,5962,11674,13408,126489,35,90.4
22,Sikkim,384,98,482,0,0,0,0,0,0,1,32,1,33,1,61,95,95,387,34.7,80.3
23,Tamil Nadu,28345,7618,35963,70,36,8,0,154,268,1,886,72,958,23,4220,5201,5469,30494,18.4,84.8
24,Telangana,68332,19891,88223,145,0,9526,0,37,9708,93,690,141,831,0,6334,7165,16873,71350,11.6,80.9
25,Tripura,5143,718,5861,0,14,166,0,0,180,0,70,0,70,0,382,452,632,5229,15.5,89.2
26,Uttar Pradesh,272625,53322,325947,889,7,185,1780,544,3405,0,12502,1344,13846,1547,6032,21425,24830,301117,64.6,92.4
27,Uttarakhand,13353,2768,16121,0,0,14,11,4,29,6,333,54,387,80,459,926,955,15166,41.8,94.1
28,West Bengal,356330,32227,388557,0,0,185,0,55,240,0,634,114,748,200,19005,19953,20193,368364,3.7,94.8
Total State (S),Total State (S),2085090,337258,2422348,2180,6269,29350,3209,2227,43235,532,34065,3957,38022,6982,134556,179560,222795,2199553,21.2,90.8
29,Andaman and Nicobar Islands,1014,182,1196,9,0,0,0,2,11,0,5,0,5,0,63,68,79,1117,7.4,93.4
30,Chandigarh,930,252,1182,2,0,0,0,45,47,0,42,3,45,1,157,203,250,932,22.2,78.8
31,Dadra and Nagar Haveli and Daman and Diu,245,85,330,0,0,1,0,0,1,0,8,1,9,0,71,80,81,249,11.3,75.5
32,Delhi,78765,10380,89145,79,3,1206,6,1070,2364,8,1374,113,1487,648,2782,4917,7281,81864,30.2,91.8
33,Jammu and Kashmir,17784,2574,20358,19,4,357,0,4,384,0,37,4,41,12,1027,1080,1464,18894,3.8,92.8
34,Ladakh,37,11,48,0,0,1,0,0,1,0,0,2,2,0,4,6,7,41,33.3,85.4
35,Lakshadweep,79,17,96,0,0,0,0,0,0,0,7,0,7,0,13,20,20,76,35,79.2
36,Puducherry,812,178,990,1,0,0,0,0,1,0,11,1,12,1,45,58,59,931,20.7,94
Total UT (S),Total UT (S),99666,13679,113345,110,7,1565,6,1121,2809,8,1484,124,1608,662,4162,6432,9241,104104,25,91.8
Total All India,Total All India,2184756,350937,2535693,2290,6276,30915,3215,3348,46044,540,35549,4081,39630,7644,138718,185992,232036,2303657,21.3,90.8
