Cities,2020,2021,2022,Population (in lakhs 2011),Rate of crime,Chargesheet rate (%)
Ahmedabad,1524,1554,1452,30,48.3,91.2
Bengaluru,2730,3127,3924,40.6,96.7,74.2
Chennai,576,874,736,43.1,17.1,81.1
Coimbatore,97,190,138,10.7,12.9,91.6
Delhi City,9782,13982,14158,75.8,186.9,72.4
Ghaziabad,341,591,1063,11,96.5,82
Hyderabad,2390,3050,3145,37.6,83.6,71.7
Indore,1346,1794,1809,10.4,174.3,75.9
Jaipur,2369,2827,3479,14.5,239.3,53
Kanpur,1056,894,2099,13.4,157.2,75.1
Kochi,403,531,754,10.8,70.1,90.9
Kolkata,2001,1783,1890,67.9,27.8,86.9
Kozhikode,394,632,759,10.6,71.3,92.4
Lucknow,2636,2161,2231,13.8,161.4,80.6
Mumbai,4583,5543,6176,85.2,72.5,78.6
Nagpur,920,1156,1259,12.2,103,74.8
Patna,495,487,812,9.6,84.7,93.2
Pune,1055,1616,2074,23.9,86.8,75.3
Surat,633,622,797,19.7,40.4,76.3
TOTAL CITIES,35331,43414,48755,540.9,90.1,75.7
