CRIME HEAD,year,cases
Rape,2001,16075
Kidnapping and Abduction of Women & Girls,2001,14645
Dowry Deaths,2001,6851
Assault on women with intent to outrage her modesty,2001,34124
Insult to the modesty of Women,2001,9746
Cruelty by Husband or his relatives,2001,49170
Importation of Girls from Foreign Country,2001,114
Immoral Traffic (P) Act,2001,8796
Dowry Prohibition Act,2001,3222
Indecent Representation of Women (P) Act,2001,1052
Rape,2002,16373
Kidnapping and Abduction of Women & Girls,2002,14506
Dowry Deaths,2002,6822
Assault on women with intent to outrage her modesty,2002,33943
Insult to the modesty of Women,2002,10155
Cruelty by Husband or his relatives,2002,49237
Importation of Girls from Foreign Country,2002,76
Immoral Traffic (P) Act,2002,6598
Dowry Prohibition Act,2002,2816
Indecent Representation of Women (P) Act,2002,2508
Rape,2003,15847
Kidnapping and Abduction of Women & Girls,2003,13296
Dowry Deaths,2003,6208
Assault on women with intent to outrage her modesty,2003,32939
Insult to the modesty of Women,2003,12325
Cruelty by Husband or his relatives,2003,50703
Importation of Girls from Foreign Country,2003,46
Immoral Traffic (P) Act,2003,5510
Dowry Prohibition Act,2003,2684
Indecent Representation of Women (P) Act,2003,1043
Rape,2004,18233
Kidnapping and Abduction of Women & Girls,2004,15578
Dowry Deaths,2004,7026
Assault on women with intent to outrage her modesty,2004,34567
Insult to the modesty of Women,2004,10001
Cruelty by Husband or his relatives,2004,58121
Importation of Girls from Foreign Country,2004,89
Immoral Traffic (P) Act,2004,5748
Dowry Prohibition Act,2004,3592
Indecent Representation of Women (P) Act,2004,1378
Rape,2005,18359
Kidnapping and Abduction of Women & Girls,2005,15750
Dowry Deaths,2005,6787
Assault on women with intent to outrage her modesty,2005,34175
Insult to the modesty of Women,2005,9984
Cruelty by Husband or his relatives,2005,58319
Importation of Girls from Foreign Country,2005,149
Immoral Traffic (P) Act,2005,5908
Dowry Prohibition Act,2005,3204
Indecent Representation of Women (P) Act,2005,2917
Rape,2006,19348
Kidnapping and Abduction of Women & Girls,2006,17414
Dowry Deaths,2006,7618
Assault on women with intent to outrage her modesty,2006,36617
Insult to the modesty of Women,2006,9966
Cruelty by Husband or his relatives,2006,63128
Importation of Girls from Foreign Country,2006,67
Immoral Traffic (P) Act,2006,4541
Dowry Prohibition Act,2006,4504
Indecent Representation of Women (P) Act,2006,1562
Rape,2007,20737
Kidnapping and Abduction of Women & Girls,2007,20416
Dowry Deaths,2007,8093
Assault on women with intent to outrage her modesty,2007,38734
Insult to the modesty of Women,2007,10950
Cruelty by Husband or his relatives,2007,75930
Importation of Girls from Foreign Country,2007,61
Immoral Traffic (P) Act,2007,3568
Dowry Prohibition Act,2007,5623
Indecent Representation of Women (P) Act,2007,1200
Rape,2008,21467
Kidnapping and Abduction of Women & Girls,2008,22939
Dowry Deaths,2008,8172
Assault on women with intent to outrage her modesty,2008,40413
Insult to the modesty of Women,2008,12214
Cruelty by Husband or his relatives,2008,81344
Importation of Girls from Foreign Country,2008,67
Immoral Traffic (P) Act,2008,2660
Dowry Prohibition Act,2008,5555
Indecent Representation of Women (P) Act,2008,1025
Rape,2009,21397
Kidnapping and Abduction of Women & Girls,2009,25741
Dowry Deaths,2009,8383
Assault on women with intent to outrage her modesty,2009,38711
Insult to the modesty of Women,2009,11009
Cruelty by Husband or his relatives,2009,89546
Importation of Girls from Foreign Country,2009,48
Immoral Traffic (P) Act,2009,2474
Dowry Prohibition Act,2009,5650
Indecent Representation of Women (P) Act,2009,845
Rape,2010,22172
Kidnapping and Abduction of Women & Girls,2010,29795
Dowry Deaths,2010,8391
Assault on women with intent to outrage her modesty,2010,40613
Insult to the modesty of Women,2010,9961
Cruelty by Husband or his relatives,2010,94041
Importation of Girls from Foreign Country,2010,36
Immoral Traffic (P) Act,2010,2499
Dowry Prohibition Act,2010,5182
Indecent Representation of Women (P) Act,2010,895
Rape,2011,24206
Kidnapping and Abduction of Women & Girls,2011,35565
Dowry Deaths,2011,8618
Assault on women with intent to outrage her modesty,2011,42968
Insult to the modesty of Women,2011,8570
Cruelty by Husband or his relatives,2011,99135
Importation of Girls from Foreign Country,2011,80
Immoral Traffic (P) Act,2011,2435
Dowry Prohibition Act,2011,6619
Indecent Representation of Women (P) Act,2011,453
Rape,2012,24923
Kidnapping and Abduction of Women & Girls,2012,38262
Dowry Deaths,2012,8233
Assault on women with intent to outrage her modesty,2012,45351
Insult to the modesty of Women,2012,9173
Cruelty by Husband or his relatives,2012,106527
Importation of Girls from Foreign Country,2012,59
Immoral Traffic (P) Act,2012,2563
Dowry Prohibition Act,2012,9038
Indecent Representation of Women (P) Act,2012,141
Rape,2013,33707
Kidnapping and Abduction of Women & Girls,2013,51881
Dowry Deaths,2013,8233
Assault on women with intent to outrage her modesty,2013,70739
Insult to the modesty of Women,2013,12589
Cruelty by Husband or his relatives,2013,118866
Importation of Girls from Foreign Country,2013,31
Immoral Traffic (P) Act,2013,2579
Dowry Prohibition Act,2013,10709
Indecent Representation of Women (P) Act,2013,362
Rape,2014,36735
Kidnapping and Abduction of Women & Girls,2014,57311
Dowry Deaths,2014,8455
Assault on women with intent to outrage her modesty,2014,82235
Insult to the modesty of Women,2014,9735
Cruelty by Husband or his relatives,2014,122877
Importation of Girls from Foreign Country,2014,13
Immoral Traffic (P) Act,2014,2617
Dowry Prohibition Act,2014,10050
Indecent Representation of Women (P) Act,2014,47
Rape,2015,34651
Kidnapping and Abduction of Women & Girls,2015,59277
Dowry Deaths,2015,7634
Assault on women with intent to outrage her modesty,2015,82422
Insult to the modesty of Women,2015,8685
Cruelty by Husband or his relatives,2015,123403
Importation of Girls from Foreign Country,2015,6
Immoral Traffic (P) Act,2015,2641
Dowry Prohibition Act,2015,9894
Indecent Representation of Women (P) Act,2015,40
Rape,2016,38947
Kidnapping and Abduction of Women & Girls,2016,64519
Dowry Deaths,2016,7621
Assault on women with intent to outrage her modesty,2016,84746
Insult to the modesty of Women,2016,7305
Cruelty by Husband or his relatives,2016,110378
Importation of Girls from Foreign Country,2016,12
Immoral Traffic (P) Act,2016,2337
Dowry Prohibition Act,2016,9683
Indecent Representation of Women (P) Act,2016,38
Rape,2017,32559
Kidnapping and Abduction of Women & Girls,2017,66333
Dowry Deaths,2017,7466
Assault on women with intent to outrage her modesty,2017,86001
Insult to the modesty of Women,2017,7451
Cruelty by Husband or his relatives,2017,104551
Importation of Girls from Foreign Country,2017,5
Immoral Traffic (P) Act,2017,2127
Dowry Prohibition Act,2017,10189
Indecent Representation of Women (P) Act,2017,25
Rape,2018,33356
Kidnapping and Abduction of Women & Girls,2018,72751
