Year,State_UT,Is_Detailed_Subcategory,Count,Crime_Head_Standardized,Crime_Head_Subcategory
2001,Andaman & Nicobar Islands,False,19.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Andaman & Nicobar Islands,False,9.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Andaman & Nicobar Islands,False,0.0,Cruelty & Dowry Offenses,Dowry Death
2001,Andaman & Nicobar Islands,False,0.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Andaman & Nicobar Islands,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,Andaman & Nicobar Islands,False,1.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Andaman & Nicobar Islands,False,2.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Andaman & Nicobar Islands,False,3.0,Rape & Attempted Rape,Rape (General/Other)
2001,Andhra Pradesh,False,3544.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Andhra Pradesh,False,5791.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Andhra Pradesh,False,420.0,Cruelty & Dowry Offenses,Dowry Death
2001,Andhra Pradesh,False,1332.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Andhra Pradesh,False,925.0,Special & Local Laws,Indecent Representation of Women Act
2001,Andhra Pradesh,False,2271.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Andhra Pradesh,False,765.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Andhra Pradesh,False,871.0,Rape & Attempted Rape,Rape (General/Other)
2001,Arunachal Pradesh,False,78.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Arunachal Pradesh,False,11.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Arunachal Pradesh,False,0.0,Cruelty & Dowry Offenses,Dowry Death
2001,Arunachal Pradesh,False,0.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Arunachal Pradesh,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,Arunachal Pradesh,False,3.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Arunachal Pradesh,False,55.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Arunachal Pradesh,False,33.0,Rape & Attempted Rape,Rape (General/Other)
2001,Assam,False,850.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Assam,False,1248.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Assam,False,59.0,Cruelty & Dowry Offenses,Dowry Death
2001,Assam,False,6.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Assam,False,10.0,Special & Local Laws,Indecent Representation of Women Act
2001,Assam,False,4.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Assam,False,1070.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Assam,False,817.0,Rape & Attempted Rape,Rape (General/Other)
2001,Bihar,False,562.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Bihar,False,1558.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Bihar,False,859.0,Cruelty & Dowry Offenses,Dowry Death
2001,Bihar,False,29.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Bihar,False,3.0,Special & Local Laws,Indecent Representation of Women Act
2001,Bihar,False,21.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Bihar,False,518.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Bihar,False,888.0,Rape & Attempted Rape,Rape (General/Other)
2001,Chandigarh,False,24.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Chandigarh,False,36.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Chandigarh,False,3.0,Cruelty & Dowry Offenses,Dowry Death
2001,Chandigarh,False,3.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Chandigarh,False,1.0,Special & Local Laws,Indecent Representation of Women Act
2001,Chandigarh,False,15.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Chandigarh,False,50.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Chandigarh,False,18.0,Rape & Attempted Rape,Rape (General/Other)
2001,Chhattisgarh,False,1763.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Chhattisgarh,False,840.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Chhattisgarh,False,70.0,Cruelty & Dowry Offenses,Dowry Death
2001,Chhattisgarh,False,12.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Chhattisgarh,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,Chhattisgarh,False,161.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Chhattisgarh,False,171.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Chhattisgarh,False,959.0,Rape & Attempted Rape,Rape (General/Other)
2001,"Dadra & Nagar Haveli (pre-2020, separate UT)",False,7.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,"Dadra & Nagar Haveli (pre-2020, separate UT)",False,4.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
