State/UT,Pending Cases (2022),Cases Sent for Trial (2023),Cases Abated,Cases Withdrawn,Cases Compounded,Plea Bargained,Cases Quashed,Cases Stayed/Record Room,Convictions (2022),Convictions (2023),Cases Discharged,Cases Acquitted,Conviction Rate (%),Pendency Percentage (%)
Andhra Pradesh,59575,21180,152,6,7340,0,33,3,466,87,142,8855,5.8,78.8
Arunachal Pradesh,3137,255,3,0,20,1,3,0,23,1,8,38,34.3,97.1
Assam,90075,11192,227,5958,6355,1,0,158,467,265,36,9066,7.4,77.9
Bihar,115796,17370,0,0,338,0,0,0,1114,171,65,932,56.3,98.0
Chhattisgarh,34270,5931,65,0,70,95,0,3,773,191,625,2777,22.1,88.6
Goa,1811,204,6,0,11,0,0,0,13,1,9,111,10.4,92.5
Gujarat,98357,6855,15,9,23,0,52,5,425,51,180,6531,6.6,93.1
Haryana,41260,8987,9,0,0,0,218,12,779,39,29,5159,13.6,87.6
Himachal Pradesh,9370,1146,3,63,25,0,111,0,135,1,5,707,16.0,90.0
Jharkhand,30019,6353,30,1,50,1,0,0,1215,469,29,3781,30.7,84.7
Karnataka,72455,16888,80,0,338,0,129,23,394,34,18,12760,3.2,84.6
Kerala,84532,14834,152,0,34,0,490,105,893,130,58,6411,13.7,91.8
Madhya Pradesh,121682,25341,43,0,2818,286,97,71,5692,445,1975,11471,31.3,84.5
Maharashtra,271761,37416,199,16,1332,0,116,0,1182,112,230,12024,9.6,95.1
Manipur,1033,87,8,0,0,0,0,0,12,0,0,12,50.0,97.1
Meghalaya,3181,441,13,1,1,0,0,0,88,3,35,87,42.7,93.7
Mizoram,825,181,2,0,6,0,0,3,97,16,4,45,69.8,83.1
Nagaland,248,39,0,0,0,0,0,0,4,6,0,2,83.3,95.8
Odisha,169572,18243,43,10,21,4,23,0,615,55,0,9104,6.9,94.7
Punjab,14989,4406,5,0,0,0,110,46,553,45,58,2228,20.7,84.5
Rajasthan,116630,23267,21,148,484,1030,51,2,3978,109,1625,5962,35.0,90.4
Sikkim,384,98,0,0,0,0,0,1,32,1,1,61,34.7,80.3
Tamil Nadu,28345,7618,70,36,8,0,154,1,886,72,23,4220,18.4,84.8
Telangana,68332,19891,145,0,9526,0,37,93,690,141,0,6334,11.6,80.9
Tripura,5143,718,0,14,166,0,0,0,70,0,0,382,15.5,89.2
Uttar Pradesh,272625,53322,889,7,185,1780,544,0,12502,1344,1547,6032,64.6,92.4
Uttarakhand,13353,2768,0,0,14,11,4,6,333,54,80,459,41.8,94.1
West Bengal,356330,32227,0,0,185,0,55,0,634,114,200,19005,3.7,94.8
Andaman and Nicobar Islands,1014,182,9,0,0,0,2,0,5,0,0,63,7.4,93.4
Chandigarh,930,252,2,0,0,0,45,0,42,3,1,157,22.2,78.8
Dadra and Nagar Haveli and Daman and Diu,245,85,0,0,1,0,0,0,8,1,0,71,11.3,75.5
Delhi,78765,10380,79,3,1206,6,1070,8,1374,113,648,2782,30.2,91.8
Jammu and Kashmir,17784,2574,19,4,357,0,4,0,37,4,12,1027,3.8,92.8
Ladakh,37,11,0,0,1,0,0,0,0,2,0,4,33.3,85.4
Lakshadweep,79,17,0,0,0,0,0,0,7,0,0,13,35.0,79.2
Puducherry,812,178,1,0,0,0,0,0,11,1,1,45,20.7,94.0
