Cities,Population as of 2011,Rate of crime (%),Chargesheet rate (%),year,crime_cases
Ahmedabad,3000000.0,48.3,91.2,2020,1524
Bengaluru,4060000.0,96.7,74.2,2020,2730
Chennai,4310000.0,17.1,81.1,2020,576
Coimbatore,1070000.0,12.9,91.6,2020,97
Delhi City,7580000.0,186.9,72.4,2020,9782
Ghaziabad,1100000.0,96.5,82.0,2020,341
Hyderabad,3760000.0,83.6,71.7,2020,2390
Indore,1040000.0,174.3,75.9,2020,1346
Jaipur,1450000.0,239.3,53.0,2020,2369
Kanpur,1340000.0,157.2,75.1,2020,1056
Kochi,1080000.0,70.1,90.9,2020,403
Kolkata,6790000.000000001,27.8,86.9,2020,2001
Kozhikode,1060000.0,71.3,92.4,2020,394
Lucknow,1380000.0,161.4,80.6,2020,2636
Mumbai,8520000.0,72.5,78.6,2020,4583
Nagpur,1220000.0,103.0,74.8,2020,920
Patna,960000.0,84.7,93.2,2020,495
Pune,2390000.0,86.8,75.3,2020,1055
Surat,1970000.0,40.4,76.3,2020,633
Ahmedabad,3000000.0,48.3,91.2,2021,1554
Bengaluru,4060000.0,96.7,74.2,2021,3127
Chennai,4310000.0,17.1,81.1,2021,874
Coimbatore,1070000.0,12.9,91.6,2021,190
Delhi City,7580000.0,186.9,72.4,2021,13982
Ghaziabad,1100000.0,96.5,82.0,2021,591
Hyderabad,3760000.0,83.6,71.7,2021,3050
Indore,1040000.0,174.3,75.9,2021,1794
Jaipur,1450000.0,239.3,53.0,2021,2827
Kanpur,1340000.0,157.2,75.1,2021,894
Kochi,1080000.0,70.1,90.9,2021,531
Kolkata,6790000.000000001,27.8,86.9,2021,1783
Kozhikode,1060000.0,71.3,92.4,2021,632
Lucknow,1380000.0,161.4,80.6,2021,2161
Mumbai,8520000.0,72.5,78.6,2021,5543
Nagpur,1220000.0,103.0,74.8,2021,1156
Patna,960000.0,84.7,93.2,2021,487
Pune,2390000.0,86.8,75.3,2021,1616
Surat,1970000.0,40.4,76.3,2021,622
Ahmedabad,3000000.0,48.3,91.2,2022,1452
Bengaluru,4060000.0,96.7,74.2,2022,3924
Chennai,4310000.0,17.1,81.1,2022,736
Coimbatore,1070000.0,12.9,91.6,2022,138
Delhi City,7580000.0,186.9,72.4,2022,14158
Ghaziabad,1100000.0,96.5,82.0,2022,1063
Hyderabad,3760000.0,83.6,71.7,2022,3145
Indore,1040000.0,174.3,75.9,2022,1809
Jaipur,1450000.0,239.3,53.0,2022,3479
Kanpur,1340000.0,157.2,75.1,2022,2099
Kochi,1080000.0,70.1,90.9,2022,754
Kolkata,6790000.000000001,27.8,86.9,2022,1890
Kozhikode,1060000.0,71.3,92.4,2022,759
Lucknow,1380000.0,161.4,80.6,2022,2231
Mumbai,8520000.0,72.5,78.6,2022,6176
Nagpur,1220000.0,103.0,74.8,2022,1259
Patna,960000.0,84.7,93.2,2022,812
Pune,2390000.0,86.8,75.3,2022,2074
Surat,1970000.0,40.4,76.3,2022,797
