city,Crime,person_count,Arrested_Gender
Agra,Notice Issued (Sec. 41 CrPC),1277,Male
Ahmedabad,Notice Issued (Sec. 41 CrPC),598,Male
Amritsar,Notice Issued (Sec. 41 CrPC),152,Male
Asansol,Notice Issued (Sec. 41 CrPC),2294,Male
Aurangabad,Notice Issued (Sec. 41 CrPC),1200,Male
Bengaluru,Notice Issued (Sec. 41 CrPC),179,Male
Bhopal,Notice Issued (Sec. 41 CrPC),1628,Male
Chandigarh City,Notice Issued (Sec. 41 CrPC),22,Male
Chennai,Notice Issued (Sec. 41 CrPC),150,Male
Coimbatore,Notice Issued (Sec. 41 CrPC),124,Male
Delhi City,Notice Issued (Sec. 41 CrPC),4779,Male
Dhanbad,Notice Issued (Sec. 41 CrPC),51,Male
Durg-Bhilainagar,Notice Issued (Sec. 41 CrPC),0,Male
Faridabad,Notice Issued (Sec. 41 CrPC),0,Male
Ghaziabad,Notice Issued (Sec. 41 CrPC),1139,Male
Gwalior,Notice Issued (Sec. 41 CrPC),1138,Male
Hyderabad,Notice Issued (Sec. 41 CrPC),2086,Male
Indore,Notice Issued (Sec. 41 CrPC),1118,Male
Jabalpur,Notice Issued (Sec. 41 CrPC),559,Male
Jaipur,Notice Issued (Sec. 41 CrPC),236,Male
Jamshedpur,Notice Issued (Sec. 41 CrPC),237,Male
Jodhpur,Notice Issued (Sec. 41 CrPC),181,Male
Kannur,Notice Issued (Sec. 41 CrPC),33,Male
Kanpur,Notice Issued (Sec. 41 CrPC),0,Male
Kochi,Notice Issued (Sec. 41 CrPC),255,Male
Kolkata,Notice Issued (Sec. 41 CrPC),38,Male
Kollam,Notice Issued (Sec. 41 CrPC),0,Male
Kota,Notice Issued (Sec. 41 CrPC),330,Male
Kozhikode,Notice Issued (Sec. 41 CrPC),381,Male
Lucknow,Notice Issued (Sec. 41 CrPC),3883,Male
Ludhiana,Notice Issued (Sec. 41 CrPC),0,Male
Madurai,Notice Issued (Sec. 41 CrPC),0,Male
Malappuram,Notice Issued (Sec. 41 CrPC),378,Male
Meerut,Notice Issued (Sec. 41 CrPC),0,Male
Mumbai,Notice Issued (Sec. 41 CrPC),1396,Male
Nagpur,Notice Issued (Sec. 41 CrPC),536,Male
Nasik,Notice Issued (Sec. 41 CrPC),144,Male
Patna,Notice Issued (Sec. 41 CrPC),22,Male
Prayagraj,Notice Issued (Sec. 41 CrPC),263,Male
Pune,Notice Issued (Sec. 41 CrPC),549,Male
Raipur,Notice Issued (Sec. 41 CrPC),707,Male
Rajkot,Notice Issued (Sec. 41 CrPC),283,Male
Ranchi,Notice Issued (Sec. 41 CrPC),136,Male
Srinagar,Notice Issued (Sec. 41 CrPC),0,Male
Surat,Notice Issued (Sec. 41 CrPC),0,Male
Thiruvananthapuram,Notice Issued (Sec. 41 CrPC),91,Male
Thrissur,Notice Issued (Sec. 41 CrPC),412,Male
Tiruchirapalli,Notice Issued (Sec. 41 CrPC),9,Male
Vadodara,Notice Issued (Sec. 41 CrPC),6,Male
Varanasi,Notice Issued (Sec. 41 CrPC),246,Male
Vasai Virar,Notice Issued (Sec. 41 CrPC),197,Male
Vijayawada,Notice Issued (Sec. 41 CrPC),2426,Male
Vishakhapatnam,Notice Issued (Sec. 41 CrPC),1380,Male
Agra,Notice Issued (Sec. 41 CrPC),0,Female
Ahmedabad,Notice Issued (Sec. 41 CrPC),408,Female
Amritsar,Notice Issued (Sec. 41 CrPC),28,Female
Asansol,Notice Issued (Sec. 41 CrPC),405,Female
Aurangabad,Notice Issued (Sec. 41 CrPC),450,Female
Bengaluru,Notice Issued (Sec. 41 CrPC),64,Female
Bhopal,Notice Issued (Sec. 41 CrPC),819,Female
Chandigarh City,Notice Issued (Sec. 41 CrPC),1,Female
Chennai,Notice Issued (Sec. 41 CrPC),39,Female
Coimbatore,Notice Issued (Sec. 41 CrPC),24,Female
Delhi City,Notice Issued (Sec. 41 CrPC),1805,Female
Dhanbad,Notice Issued (Sec. 41 CrPC),0,Female
Durg-Bhilainagar,Notice Issued (Sec. 41 CrPC),0,Female
Faridabad,Notice Issued (Sec. 41 CrPC),0,Female
Ghaziabad,Notice Issued (Sec. 41 CrPC),232,Female
Gwalior,Notice Issued (Sec. 41 CrPC),363,Female
Hyderabad,Notice Issued (Sec. 41 CrPC),409,Female
Indore,Notice Issued (Sec. 41 CrPC),451,Female
Jabalpur,Notice Issued (Sec. 41 CrPC),113,Female
Jaipur,Notice Issued (Sec. 41 CrPC),36,Female
Jamshedpur,Notice Issued (Sec. 41 CrPC),0,Female
Jodhpur,Notice Issued (Sec. 41 CrPC),13,Female
Kannur,Notice Issued (Sec. 41 CrPC),23,Female
Kanpur,Notice Issued (Sec. 41 CrPC),0,Female
Kochi,Notice Issued (Sec. 41 CrPC),88,Female
Kolkata,Notice Issued (Sec. 41 CrPC),0,Female
Kollam,Notice Issued (Sec. 41 CrPC),1,Female
Kota,Notice Issued (Sec. 41 CrPC),8,Female
Kozhikode,Notice Issued (Sec. 41 CrPC),39,Female
Lucknow,Notice Issued (Sec. 41 CrPC),1258,Female
Ludhiana,Notice Issued (Sec. 41 CrPC),0,Female
Madurai,Notice Issued (Sec. 41 CrPC),0,Female
Malappuram,Notice Issued (Sec. 41 CrPC),94,Female
Meerut,Notice Issued (Sec. 41 CrPC),0,Female
Mumbai,Notice Issued (Sec. 41 CrPC),347,Female
Nagpur,Notice Issued (Sec. 41 CrPC),243,Female
Nasik,Notice Issued (Sec. 41 CrPC),34,Female
Patna,Notice Issued (Sec. 41 CrPC),0,Female
Prayagraj,Notice Issued (Sec. 41 CrPC),19,Female
Pune,Notice Issued (Sec. 41 CrPC),225,Female
Raipur,Notice Issued (Sec. 41 CrPC),265,Female
Rajkot,Notice Issued (Sec. 41 CrPC),199,Female
Ranchi,Notice Issued (Sec. 41 CrPC),0,Female
Srinagar,Notice Issued (Sec. 41 CrPC),0,Female
Surat,Notice Issued (Sec. 41 CrPC),0,Female
Thiruvananthapuram,Notice Issued (Sec. 41 CrPC),41,Female
Thrissur,Notice Issued (Sec. 41 CrPC),166,Female
Tiruchirapalli,Notice Issued (Sec. 41 CrPC),0,Female
Vadodara,Notice Issued (Sec. 41 CrPC),0,Female
Varanasi,Notice Issued (Sec. 41 CrPC),142,Female
Vasai Virar,Notice Issued (Sec. 41 CrPC),66,Female
Vijayawada,Notice Issued (Sec. 41 CrPC),790,Female
Vishakhapatnam,Notice Issued (Sec. 41 CrPC),556,Female
Agra,Notice Issued (Sec. 41 CrPC),0,Transgender
Ahmedabad,Notice Issued (Sec. 41 CrPC),0,Transgender
Amritsar,Notice Issued (Sec. 41 CrPC),0,Transgender
Asansol,Notice Issued (Sec. 41 CrPC),0,Transgender
Aurangabad,Notice Issued (Sec. 41 CrPC),0,Transgender
Bengaluru,Notice Issued (Sec. 41 CrPC),0,Transgender
Bhopal,Notice Issued (Sec. 41 CrPC),0,Transgender
Chandigarh City,Notice Issued (Sec. 41 CrPC),0,Transgender
Chennai,Notice Issued (Sec. 41 CrPC),0,Transgender
