53 Metropolitan Cities,Cases Reported Under 156_3 during the year 2023,Cases Reported in Police Stations during the year 2023,Cases Reported during the year 2023
Agra,0,1030,1030
Ahmedabad,1,1359,1360
Amritsar,0,306,306
Asansol,400,295,695
Aurangabad,3,974,977
Bengaluru,68,4802,4870
Bhopal,0,1886,1886
Chandigarh City,2,369,371
Chennai,16,729,745
Coimbatore,4,240,244
Delhi City,49,13317,13366
Dhanbad,0,302,302
Durg-Bhilainagar,0,504,504
Faridabad,2,1422,1424
Ghaziabad,5,899,904
Gwalior,1,1158,1159
Hyderabad,17,3805,3822
Indore,0,1919,1919
Jabalpur,0,809,809
Jaipur,1367,2505,3872
Jamshedpur,60,206,266
Jodhpur,121,1183,1304
Kannur,38,407,445
Kanpur,26,2045,2071
Kochi,23,760,783
Kolkata,2,1744,1746
Kollam,30,677,707
Kota,134,892,1026
Kozhikode,17,610,627
Lucknow,23,2879,2902
Ludhiana,0,441,441
Madurai,11,249,260
Malappuram,8,402,410
Meerut,0,589,589
Mumbai,7,6018,6025
Nagpur,1,1555,1556
Nasik,3,699,702
Patna,62,1100,1162
Prayagraj,5,584,589
Pune,0,2550,2550
Raipur,0,706,706
Rajkot,0,381,381
Ranchi,0,364,364
Srinagar,6,393,399
Surat,0,869,869
Thiruvananthapuram,7,753,760
Thrissur,34,826,860
Tiruchirapalli,0,119,119
Vadodara,0,300,300
Varanasi,0,680,680
Vasai Virar,5,1186,1191
Vijayawada,12,2209,2221
Vishakhapatnam,4,993,997
