Category,State/UT,Offense_Category,Offense_Subcategory,Incidents
State,Andhra Pradesh,Penalties & Legal Provisions,General Offences (Section Penalties),758
State,Arunachal Pradesh,Penalties & Legal Provisions,General Offences (Section Penalties),46
State,Assam,Penalties & Legal Provisions,General Offences (Section Penalties),1599
State,Bihar,Penalties & Legal Provisions,General Offences (Section Penalties),700
State,Chhattisgarh,Penalties & Legal Provisions,General Offences (Section Penalties),546
State,Goa,Penalties & Legal Provisions,General Offences (Section Penalties),54
State,Gujarat,Penalties & Legal Provisions,General Offences (Section Penalties),429
State,Haryana,Penalties & Legal Provisions,General Offences (Section Penalties),900
State,Himachal Pradesh,Penalties & Legal Provisions,General Offences (Section Penalties),302
State,Jammu & Kashmir,Penalties & Legal Provisions,General Offences (Section Penalties),177
State,Jharkhand,Penalties & Legal Provisions,General Offences (Section Penalties),1253
State,Karnataka,Penalties & Legal Provisions,General Offences (Section Penalties),451
State,Kerala,Penalties & Legal Provisions,General Offences (Section Penalties),1043
State,Madhya Pradesh,Penalties & Legal Provisions,General Offences (Section Penalties),1007
State,Maharashtra,Penalties & Legal Provisions,General Offences (Section Penalties),1564
State,Manipur,Penalties & Legal Provisions,General Offences (Section Penalties),26
State,Meghalaya,Penalties & Legal Provisions,General Offences (Section Penalties),68
State,Mizoram,Penalties & Legal Provisions,General Offences (Section Penalties),15
State,Nagaland,Penalties & Legal Provisions,General Offences (Section Penalties),5
State,Odisha,Penalties & Legal Provisions,General Offences (Section Penalties),785
State,Punjab,Penalties & Legal Provisions,General Offences (Section Penalties),900
State,Rajasthan,Penalties & Legal Provisions,General Offences (Section Penalties),3826
State,Sikkim,Penalties & Legal Provisions,General Offences (Section Penalties),10
State,Tamil Nadu,Penalties & Legal Provisions,General Offences (Section Penalties),334
State,Telangana,Penalties & Legal Provisions,General Offences (Section Penalties),613
State,Tripura,Penalties & Legal Provisions,General Offences (Section Penalties),73
State,Uttar Pradesh,Penalties & Legal Provisions,General Offences (Section Penalties),2701
State,Uttarakhand,Penalties & Legal Provisions,General Offences (Section Penalties),290
State,West Bengal,Penalties & Legal Provisions,General Offences (Section Penalties),1001
UT,Andaman & Nicobar Islands,Penalties & Legal Provisions,General Offences (Section Penalties),10
UT,Chandigarh,Penalties & Legal Provisions,General Offences (Section Penalties),48
UT,Dadra & Nagar Haveli,Penalties & Legal Provisions,General Offences (Section Penalties),0
UT,Daman & Diu,Penalties & Legal Provisions,General Offences (Section Penalties),4
UT,Delhi,Penalties & Legal Provisions,General Offences (Section Penalties),1176
UT,Lakshadweep,Penalties & Legal Provisions,General Offences (Section Penalties),0
UT,Puducherry,Penalties & Legal Provisions,General Offences (Section Penalties),10
State,Andhra Pradesh,Custodial,Police Personnel,0
State,Arunachal Pradesh,Custodial,Police Personnel,0
State,Assam,Custodial,Police Personnel,0
State,Bihar,Custodial,Police Personnel,0
State,Chhattisgarh,Custodial,Police Personnel,1
State,Goa,Custodial,Police Personnel,0
State,Gujarat,Custodial,Police Personnel,0
State,Haryana,Custodial,Police Personnel,0
State,Himachal Pradesh,Custodial,Police Personnel,0
State,Jammu & Kashmir,Custodial,Police Personnel,0
State,Jharkhand,Custodial,Police Personnel,0
State,Karnataka,Custodial,Police Personnel,0
State,Kerala,Custodial,Police Personnel,0
State,Madhya Pradesh,Custodial,Police Personnel,3
State,Maharashtra,Custodial,Police Personnel,0
State,Manipur,Custodial,Police Personnel,0
State,Meghalaya,Custodial,Police Personnel,0
State,Mizoram,Custodial,Police Personnel,0
State,Nagaland,Custodial,Police Personnel,0
State,Odisha,Custodial,Police Personnel,0
State,Punjab,Custodial,Police Personnel,0
State,Rajasthan,Custodial,Police Personnel,1
State,Sikkim,Custodial,Police Personnel,0
State,Tamil Nadu,Custodial,Police Personnel,0
State,Telangana,Custodial,Police Personnel,0
State,Tripura,Custodial,Police Personnel,0
State,Uttar Pradesh,Custodial,Police Personnel,0
State,Uttarakhand,Custodial,Police Personnel,0
State,West Bengal,Custodial,Police Personnel,0
UT,Andaman & Nicobar Islands,Custodial,Police Personnel,0
UT,Chandigarh,Custodial,Police Personnel,0
UT,Dadra & Nagar Haveli,Custodial,Police Personnel,0
UT,Daman & Diu,Custodial,Police Personnel,0
UT,Delhi,Custodial,Police Personnel,0
UT,Lakshadweep,Custodial,Police Personnel,0
UT,Puducherry,Custodial,Police Personnel,0
State,Andhra Pradesh,Custodial,Public Servant,0
State,Arunachal Pradesh,Custodial,Public Servant,0
State,Assam,Custodial,Public Servant,0
State,Bihar,Custodial,Public Servant,0
State,Chhattisgarh,Custodial,Public Servant,0
State,Goa,Custodial,Public Servant,0
State,Gujarat,Custodial,Public Servant,0
State,Haryana,Custodial,Public Servant,1
State,Himachal Pradesh,Custodial,Public Servant,0
State,Jammu & Kashmir,Custodial,Public Servant,0
State,Jharkhand,Custodial,Public Servant,0
State,Karnataka,Custodial,Public Servant,0
State,Kerala,Custodial,Public Servant,0
State,Madhya Pradesh,Custodial,Public Servant,1
State,Maharashtra,Custodial,Public Servant,0
State,Manipur,Custodial,Public Servant,0
State,Meghalaya,Custodial,Public Servant,0
State,Mizoram,Custodial,Public Servant,0
State,Nagaland,Custodial,Public Servant,0
State,Odisha,Custodial,Public Servant,0
State,Punjab,Custodial,Public Servant,0
State,Rajasthan,Custodial,Public Servant,1
State,Sikkim,Custodial,Public Servant,0
State,Tamil Nadu,Custodial,Public Servant,0
State,Telangana,Custodial,Public Servant,0
State,Tripura,Custodial,Public Servant,0
State,Uttar Pradesh,Custodial,Public Servant,10
State,Uttarakhand,Custodial,Public Servant,0
State,West Bengal,Custodial,Public Servant,0
UT,Andaman & Nicobar Islands,Custodial,Public Servant,0
UT,Chandigarh,Custodial,Public Servant,0
UT,Dadra & Nagar Haveli,Custodial,Public Servant,0
UT,Daman & Diu,Custodial,Public Servant,0
UT,Delhi,Custodial,Public Servant,0
UT,Lakshadweep,Custodial,Public Servant,0
UT,Puducherry,Custodial,Public Servant,0
State,Andhra Pradesh,Custodial,Member of Armed Forces,1
State,Arunachal Pradesh,Custodial,Member of Armed Forces,0
State,Assam,Custodial,Member of Armed Forces,0
State,Bihar,Custodial,Member of Armed Forces,0
State,Chhattisgarh,Custodial,Member of Armed Forces,0
State,Goa,Custodial,Member of Armed Forces,0
State,Gujarat,Custodial,Member of Armed Forces,0
State,Haryana,Custodial,Member of Armed Forces,0
State,Himachal Pradesh,Custodial,Member of Armed Forces,0
State,Jammu & Kashmir,Custodial,Member of Armed Forces,0
