Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1,K Surendran,WAYANAD,BJP,243,Graduate,"Rs 1,00,85,808","Rs 10,53,975"
2,Dr. K. S. Radhakrishnan,ERNAKULAM,BJP,211,Doctorate,"Rs 1,54,99,146",Rs 0
3,Arjun Singh,BARRACKPUR,BJP,93,12th Pass,"Rs 2,74,76,986","Rs 1,18,07,539"
4,Adv. Dean Kuriakose,IDUKKI,INC,88,Post Graduate,"Rs 2,07,97,763","Rs 36,19,970"
5,Athram Suguna,ADILABAD (ST),INC,49,Post Graduate,"Rs 2,04,48,609","Rs 55,96,171"
6,Athram Sakku,ADILABAD (ST),BRS,47,10th Pass,"Rs 1,87,98,583",Rs 0
7,Shafi Parambil,VADAKARA,INC,47,Post Graduate,"Rs 99,34,524","Rs 15,00,000"
8,Eatala Rajender,MALKAJGIRI,BJP,45,Graduate,"Rs 54,01,78,712","Rs 20,41,57,216"
9,Bandi Sanjay Kumar,KARIMNAGAR,BJP,42,Post Graduate,"Rs 1,12,75,000","Rs 13,40,000"
10,Rajesh Ranjan Alias Pappu Yadav,PURNIA,IND,41,Graduate,"Rs 12,08,84,682","Rs 1,72,36,808"
11,Syed Yashir Nawaz,BHUBANESWAR,INC,37,12th Pass,"Rs 3,70,000",Rs 0
12,Mohite-Patil Dhairyasheel Rajsinh,MADHA,Nationalist Congress Party – Sharadchandra Pawar,36,Post Graduate,"Rs 48,94,34,188","Rs 20,50,27,212"
13,Chandrashekhar,NAGINA (SC),Aazad Samaj Party (Kanshi Ram),36,Graduate Professional,"Rs 39,86,581",Rs 0
14,Muruganantham M,THANJAVUR,BJP,32,8th Pass,"Rs 2,29,04,971","Rs 51,60,020"
15,C Krishnakumar,PALAKKAD,BJP,30,Graduate,"Rs 1,70,24,979","Rs 6,84,733"
16,Madhavaneni Raghunandan Rao,MEDAK,BJP,29,Graduate Professional,"Rs 22,09,07,289","Rs 12,11,78,789"
17,Dilip Ghosh,BURDWAN - DURGAPUR,BJP,27,10th Pass,"Rs 1,82,45,589","Rs 50,00,000"
18,Annamalai K,COIMBATORE,BJP,26,Post Graduate,"Rs 4,07,26,627",Rs 0
19,Babu Singh Kushwaha,JAUNPUR,SP,25,12th Pass,"Rs 20,01,49,000","Rs 2,82,55,000"
20,Shantanu Thakur,BANGAON (SC),BJP,23,Graduate,"Rs 3,34,11,607","Rs 1,72,18,000"
21,Dr Murugan L,NILGIRIS (SC),BJP,23,Doctorate,"Rs 4,28,83,400","Rs 1,20,00,000"
22,Arvind Dharmapuri,NIZAMABAD,BJP,22,Post Graduate,"Rs 1,09,90,20,273","Rs 30,66,81,918"
23,Venumbaka Vijayasai Reddy,NELLORE,YSRCP,22,Others,"Rs 36,51,67,286","Rs 22,84,855"
24,Locket Chatterjee,HOOGHLY,BJP,22,Graduate,"Rs 4,45,89,139",Rs 0
25,Dulu Mahato,DHANBAD,BJP,22,12th Pass,"Rs 7,01,20,183","Rs 78,88,835"
26,Lallan Singh Yadav,BALLIA,BSP,22,12th Pass,"Rs 1,56,31,211",Rs 0
27,B. B. Patil,ZAHIRABAD,BJP,21,Graduate,"Rs 1,51,69,31,855","Rs 3,52,00,568"
28,Ajit Prasad Mahata,PURULIA,IND,21,Graduate,"Rs 45,33,103",Rs 0
29,Imran Sheikh,ANANTNAG-RAJOURI,IND,20,8th Pass,"Rs 54,60,000",Rs 0
