"MP.name","Nature.of.membership","Start.of.term","End.of.term","State","Constituency","Political.party","Gender","Educational.qualifications","Educational.qualifications...details","Age","Debates","Private.Member.Bills","Questions","Attendance","Notes","National.Debates.average","National.Private.Member.Bills.average","National.Questions.average","National.Attendance.average","State.s.Debates.average","State.s.Private.Member.Bills..average","State.s.Questions.average","State.s.Attendance.average","Serious_CrimCase","Immoveable","Moveable"
"A. Ganeshamurthi","Elected","18-May-09","In office","Tamil Nadu","Erode","Marumalarchi Dravida Munnetra Kazhagam","Male","Graduate","B.A. (Economics); Educated at Thayagaraja College, Chennai, Tamil Nadu.","66","30","0","418","71%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",0,NA,NA
"A.K.S. Vijayan","Elected","18-May-09","In office","Tamil Nadu","Nagapattinam","Dravida Munnetra Kazhagam","Male","Graduate","B.A.; Educated at Madras University, Chennai, Tamil Nadu","52","31","0","440","57%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",0,NA,3488000
"A.T. Nana Patil","Elected","18-May-09","In office","Maharashtra","Jalgaon","Bharatiya Janata Party","Male","Graduate","M.Com (2nd Year Appearing)","52","69","10","641","80%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",0,1.01e+08,1e+07
"Abdul Mannan Hossain","Elected","18-May-09","In office","West Bengal","Murshidabad","Indian National Congress","Male","Graduate","B.A.; Educated at R.K.N.College","61","0","0","0","59%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",1,1356625,703160
"Abdul Rahman","Elected","18-May-09","In office","Tamil Nadu","Vellore","Dravida Munnetra Kazhagam","Male","Post Graduate","M.A. (Economics), Diploma in Computer Programming; Educated at Jamal Mohamed College, Tiruchhrappalli, Tamil Nadu, Institute of Business Applications, Chennai.","54","37","0","583","68%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",0,9549032,2998096
"Adagooru H Vishwanath","Elected","18-May-09","In office","Karnataka","Mysore","Indian National Congress","Male","Graduate","B.Sc., LL.B.; Educated at Mysore University and Sharada Vilasa La College, Mysore, Karnataka","64","2","0","344","61%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","21.2","0.2","350","68%",0,26900000,1410972
"Adhi Sankar","Elected","18-May-09","In office","Tamil Nadu","Kallakurichi","Dravida Munnetra Kazhagam","Male","Graduate","B.Sc., B.L.; Educated at University of Madras (Tamil Nadu) ","56","12","0","178","58%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",0,14400000,3676061
"Amarnath Pradhan","Elected","18-May-09","In office","Orissa","Sambalpur","Indian National Congress","Male","Graduate","B.A., Utkal University, Bhubaneswar, Orissa","55","26","0","187","85%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","35","0.9","382","74%",0,221000,4590188
"Anand Prakash Paranjpe","Elected","18-May-09","In office","Maharashtra","Kalyan","Shiv Sena","Male","Post Graduate","B.E., M.B.A.; Educated at Pune University, Maharashtra","40","11","0","820","68%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",0,5810000,6445958
"Anandrao Adsul","Elected","18-May-09","In office","Maharashtra","Amravati","Shiv Sena","Male","Graduate","B.Com.; Educated at Shivaji University, Kolhapur, Maharashtra","66","35","3","1266","74%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",0,6535735,4444123
