state,district,event_type,sec144_order_count,network_type,nature,date,status
Delhi,Central District,sec144,28.0,,,,
Delhi,Dwarka District,sec144,450.0,,,,
Delhi,East District,sec144,508.0,,,,
Delhi,New Delhi District,sec144,383.0,,,,
Delhi,North District,sec144,520.0,,,,
Delhi,North-East District,sec144,541.0,,,,
Delhi,North-West District,sec144,342.0,,,,
Delhi,Outer District,sec144,431.0,,,,
Delhi,Outer-North District,sec144,394.0,,,,
Delhi,Rohini District,sec144,409.0,,,,
Delhi,Shahdara District,sec144,578.0,,,,
Delhi,South District,sec144,456.0,,,,
Delhi,South-East District,sec144,243.0,,,,
Delhi,South-West District,sec144,344.0,,,,
Delhi,West District,sec144,370.0,,,,
Delhi,IGI,sec144,6.0,,,,
Delhi,Metro,sec144,112.0,,,,
Delhi,PHQ,sec144,2.0,,,,
Delhi,Special Commissioners of Police,sec144,2.0,,,,
Delhi,Railway,sec144,5.0,,,,
Bihar,Muzaffarpur,internet_shutdown,,Mobile,Preventive,2026-07-24,Ended
Delhi,Central Delhi,internet_shutdown,,Mobile,Preventive,2026-07-24,Ended
Delhi,Central Delhi,internet_shutdown,,Mobile,Preventive,2026-07-23,Ended
Delhi,Central Delhi,internet_shutdown,,,Reactive,2026-07-22,Ended
Delhi,Central Delhi,internet_shutdown,,Mobile,Reactive,2026-07-20,Ended
Jammu And Kashmir,Doda,internet_shutdown,,,Preventive,2026-07-17,Ended
Rajasthan,"Karauli, Sawai Madhopur",internet_shutdown,,Mobile,Preventive,2026-07-08,Ended
Uttarakhand,Chamoli,internet_shutdown,,Both,Preventive,2026-06-21,Ended
Rajasthan,Jaipur,internet_shutdown,,Mobile,Preventive,2026-06-07,Ended
Haryana,Faridabad,internet_shutdown,,Mobile,Preventive,2026-05-30,Ended
Assam,"Chirang, Kokrajhar",internet_shutdown,,Mobile,Reactive,2026-04-17,Ended
Manipur,"Kakching, Bishnupur, Imphal East, Imphal West",internet_shutdown,,Both,Preventive,2026-04-16,Ended
Manipur,"Kakching, Imphal West, Imphal East, Thoubal, Bishnupur",internet_shutdown,,Both,Preventive,2026-04-14,Ended
Jammu And Kashmir,Ramban,internet_shutdown,,Mobile,Preventive,2026-04-13,Ended
Manipur,"Kakching, Imphal West, Imphal East, Thoubal, Bishnupur",internet_shutdown,,Both,Preventive,2026-04-12,Ended
Manipur,"Kakching, Imphal East, Imphal West, Thoubal, Bishnupur",internet_shutdown,,Both,Reactive,2026-04-10,Ended
Manipur,"Bishnupur, Imphal West, Imphal East, Kakching, Thoubal",internet_shutdown,,Both,Reactive,2026-04-07,Ended
Meghalaya,"North Garo Hills, West Garo Hills, South Garo Hills, South West Garo Hills, East Garo Hills",internet_shutdown,,Mobile,Reactive,2026-03-12,Ended
