district,sec144_order_count,state,event_type
Central District,28,Delhi,sec144
Dwarka District,450,Delhi,sec144
East District,508,Delhi,sec144
New Delhi District,383,Delhi,sec144
North District,520,Delhi,sec144
North-East District,541,Delhi,sec144
North-West District,342,Delhi,sec144
Outer District,431,Delhi,sec144
Outer-North District,394,Delhi,sec144
Rohini District,409,Delhi,sec144
Shahdara District,578,Delhi,sec144
South District,456,Delhi,sec144
South-East District,243,Delhi,sec144
South-West District,344,Delhi,sec144
West District,370,Delhi,sec144
IGI,6,Delhi,sec144
Metro,112,Delhi,sec144
PHQ,2,Delhi,sec144
Special Commissioners of Police,2,Delhi,sec144
Railway,5,Delhi,sec144
