cino,act
ASKJ040039112022,28
ASKJ040039112022,64
ASKJ040039112022,14
ASKJ040039112022,235
ASKJ040039112022,236
ASKJ040039112022,3
ASKJ040039112022,12
ASLK030053962022,236
ASLK030053962022,344
ASKR070008052022,236
ASKR030006932019,461
ASKR060001322023,462
ASKR060001322023,463
ASKR070003102019,236
ASKR030000842022,464
ASLK030012292019,470
ASLK030012292019,236
AS07050000622018,474
AS07050000622018,236
ASLK030003242021,235
ASLK030003242021,236
ASLK030003242021,475
ASLK030001432022,470
ASLK030001432022,236
ASLK010007332017,476
ASLK030015842022,236
ASLK030002272023,236
ASLK030041922022,28
ASLK030041922022,486
ASLK030041922022,13
ASLK030041922022,31
ASLK030041922022,30
ASLK030041922022,236
ASLK030004792022,487
ASLK030004792022,488
ASLK030014332018,491
ASLK030014332018,465
ASLK010009102021,28
ASLK010009102021,498
ASLK010009102021,13
ASLK010009102021,31
ASLK010009102021,30
ASLK010009102021,499
ASKM010024072022,665
ASKM010024072022,344
ASKM010024072022,488
ASKM010024072022,236
ASKM010016062015,609
ASKM010016062015,795
ASKM010016062015,236
ASKM010016062015,527
ASKM010016062015,796
ASKM010016062015,475
AS01060088672019,35
AS01060088672019,798
AS01060088672019,344
ASSV030018862022,235
ASSV030006602020,236
ASSV030032182022,507
ASSV030051762022,465
ASSV030006912019,236
ASSV030014142019,236
ASSV030007132019,236
ASSV050004472023,465
ASSV030000472020,236
ASSV030000472020,521
ASSV010000022017,129
ASSV010000022017,527
ASSV010000022017,475
ASSV010000022017,528
ASSV030011002019,236
ASSV010010752022,530
ASSV010010752022,531
ASSV010010752022,236
ASSV010010752022,344
ASSV030053902022,235
ASSV030089312022,236
ASSV010002912018,149
ASSV010002912018,339
ASSV010002912018,137
ASSV010002912018,129
ASSV010002912018,139
ASSV010002912018,236
ASSV010013612015,129
ASSV010013612015,235
ASSV010013612015,236
ASSV030089392022,236
ASSV050012752022,50
ASSV050012752022,531
ASSV050012752022,236
ASSV050012752022,553
ASSV030000922018,554
ASSV030090002022,559
ASSV050000202021,560
ASSV030007102019,236
ASSV030012242019,236
ASSV030000572020,236
ASSV010000922016,236
ASSV030026502022,236
ASSV030026502022,488
ASSN030010342019,565
ASSN030076852016,569
ASSN030075452016,554
ASSN030048242015,465
ASSN030048242015,582
ASSN030024812021,465
ASSN030005902021,236
ASDB020089452018,507
ASDB020026632018,236
ASDB020039812021,236
ASDB020082652018,507
ASDB020041342022,236
ASDB020006192020,236
ASDB020071282016,236
ASDB020038022022,235
ASDB020002452021,235
ASDB020000802023,236
ASDB020000802023,799
ASKA030005672022,800
AS22020007732021,235
AS22020007732021,236
ASMR040006192019,235
ASMR040001042023,465
ASMR040051302022,470
ASMR040051302022,465
ASMR040072092022,803
ASMR040072092022,717
ASMR040072092022,236
ASMR040044682022,470
ASMR040044682022,465
ASMR040016262017,29
ASMR040016262017,35
ASMR040016262017,31
ASMR040016262017,784
ASMR040064492022,470
ASMR040064492022,465
ASMR040063172022,470
ASMR040063172022,465
ASDR040007132018,2
ASDR040007132018,812
ASDR040007132018,236
ASDR040034732017,236
ASDR040034732017,813
ASDR040034742017,569
ASDR040034742017,799
ASDR040010502023,465
ASDR040010502023,817
ASHI030011802013,236
ASHI030011802013,763
ASHI030011802013,820
ASHI030013332015,236
ASHI030013332015,799
ASHI030013332015,235
ASHI030013332015,821
ASHI030044302019,711
ASHI030001982023,31
ASHI030001982023,470
ASHI030001982023,30
ASHI030001982023,236
ASHI030019192015,236
ASHI030019192015,799
ASHI030019192015,235
ASHI030019192015,823
ASHI030055452019,465
ASHI030023192019,711
ASHI030027722017,465
ASHI030027722017,828
ASHI030013322015,236
ASHI030013322015,799
ASHI030013322015,235
ASHI030013322015,821
ASHI030026512019,711
ASHI030032052020,235
ASHI030013292015,831
ASHI030013292015,799
ASHI030013292015,236
ASHI030013292015,235
ASHI030013292015,821
ASHI030003452017,53
ASHI030003452017,54
ASHI030003452017,48
ASHI030003452017,554
ASHI030003452017,813
ASHI030014472015,236
ASSN030012082023,35
ASSN030012082023,14
ASSN030012082023,236
ASSN030028952021,236
ASBR030013782021,603
ASBR030017752021,235
ASBR030021012022,604
ASUA010013942022,605
ASUA010000092023,159
ASUA010000092023,129
ASUA010000092023,530
ASUA010000092023,139
ASUA010000092023,605
ASUA030000402023,159
ASUA030000402023,129
ASUA030000402023,530
ASUA030000402023,139
ASUA030000402023,605
ASUA030003692022,104
ASUA030003692022,609
ASUA030003692022,610
ASUA010005702022,104
ASUA010005702022,609
ASUA010005702022,610
ASDH030015882020,235
ASDH030015882020,613
MHCC020147492019,159
MHCC020147492019,105
MHCC020147492019,501
MHCC020147492019,442
MHCC020147492019,579
MHCC020147492019,162
MHCC020147492019,164
ASJR010007102022,272
ASJR010007102022,470
ASJR010007102022,236
ASJR010007102022,344
ASJR010007102022,632
ASMR040020532022,35
ASMR040020532022,344
ASMR040020532022,488
ASMR040020532022,236
ASMR040038332022,344
ASMR040038332022,236
ASDH030000092021,614
ASDH030000092021,615
ASDH030000092021,616
ASDH030000092021,617
ASDH030000092021,618
ASDH030000092021,619
ASDH030000092021,235
ASCH020002152019,565
ASCH020000892020,236
ASCH020002242015,236
ASCH020007412019,236
ASCH050008922019,236
ASCH020032382021,636
ASCH020002672022,236
ASCH020021012022,565
ASCH020002652022,639
ASCH050008272019,236
ASJR030007912019,235
ASJR030039382015,465
ASJR030021702017,554
ASJR030039392015,465
ASJR030046492019,465
ASJR030067832018,69
ASJR030067832018,235
ASJR030003312021,465
ASJR070006332019,69
ASJR070006332019,236
ASJR030031272019,235
ASJR030064822018,613
ASJR030030972021,470
ASJR030030972021,37
ASJR030030972021,236
ASJR030028902015,465
ASJR030011242018,465
ASJR030034832019,235
ASJR030042412021,470
ASJR030042412021,235
ASJR030024052015,465
ASJR070000082017,465
ASJR030029232019,235
ASJR010001822021,57
ASJR010001822021,88
ASJR010001822021,675
ASJR010001822021,14
ASJR010001822021,465
ASJR030031282019,235
ASJR030039372015,465
ASJR070000372018,465
ASJR030012622016,678
ASJR030009152019,235
ASJR030024062015,465
ASKM010026462022,665
ASKM010026462022,344
ASKM010026462022,488
ASKM010026462022,236
ASKM010031912022,665
ASKM010031912022,344
ASKM010031912022,488
ASKM010031912022,236
AS01060035602019,344
AS01060035602019,236
ASJR070000042017,465
ASJR030024042015,465
ASJR030049352017,465
ASJR030032292019,235
ASJR030037082019,691
ASJR070006322019,69
ASJR070006322019,236
ASKJ040030972022,30
ASKJ040030972022,35
ASKJ040030972022,88
ASKJ040030972022,14
ASKJ040030972022,613
ASKJ040002412020,236
ASKJ040019722016,695
ASKJ040010612015,697
ASKJ040010612015,698
ASKJ040010612015,699
ASKJ040010612015,700
ASKJ040010612015,701
ASKJ040016542023,236
ASKJ040016542023,702
MHCC020060882019,203
MHCC020060882019,105
MHCC020060882019,108
MHCC020060882019,138
MHCC020060882019,51
MHCC020060882019,139
MHCC020060882019,442
MHCC020060882019,472
MHCC020060882019,443
MHCC020060882019,444
MHCC020060882019,162
MHCC020060882019,163
ASTN060018812017,272
ASTN060018812017,344
ASTN060018812017,236
ASTN060005902022,35
ASTN060005902022,14
ASTN060005902022,344
ASTN060005902022,236
ASHI030014472015,799
ASHI030014472015,235
ASHI030014462015,236
ASHI030014462015,799
ASHI030014462015,235
ASHI030036032019,69
ASHI030036032019,711
ASHI030013312015,236
ASHI030013312015,799
ASHI030013312015,235
ASHI030013312015,821
ASHI030017932022,236
ASNG050006562020,235
ASNG050006562020,236
ASNG030053212021,465
ASNG030018352020,236
ASNG030045922016,29
ASNG030045922016,690
ASNG030045922016,14
ASNG030045922016,236
ASNG050005162016,67
