cino,case_no,court_name,date_first_list,date_last_list,date_next_list,date_of_decision,date_of_filing,dt_regis,desgcode,desgname,disp_name,disp_nature,district_code,district_name,state_code,state_name,fil_no,fil_year,reg_no,reg_year,fir_no,fir_year,goshwara_no,police_station,judgment_date,judgment_link,purpose_name,purpose_next,type_name,child_labour,child_marriage,type_name_updated,date_scraped,calpra_eliminated,pcma_eliminated,desgname_updated,desgname_super_broad_name,desgname_broader_category,type_name_reclassification_1,type_name_reclassification_2,outcome_classification_1,outcome_classification_2,pcma_type_name_reclassification_1,pcma_type_name_reclassification_2,pcma_type_name_reclassification_3
ASBN030004442020,207300002702020,Chief Judicial Magistrate,2020-05-20,2023-01-21,2023-01-21,2023-01-21,2020-05-20,2020-05-20,4,CJM Bongaigaon,Withdrawal,53,9,Bongaigaon,6,Assam,444,2020,270,2020,526,2019,2,Bongaigaon,NA,NA,Evidence of I.O,117,PRC Case,1,0,PRC,2023-03-05,0,NA,Chief Judicial Magistrate,CJM,CJM,Criminal Trial,Criminal Trial,Dismissal,"Others(Abated, Absconded
Allowed, Discharged, Dismissal, Disposed, Miscellaneous, Sec.258 Cr.P.C., Stopped, Untraced)",NA,NA,NA
ASBN030007702016,202700001242016,Chief Judicial Magistrate,2016-12-23,2020-03-06,2020-03-06,2020-03-06,2016-11-23,2016-11-23,5,Addl. CJM Bongaigaon,Disposed of,30,9,Bongaigaon,6,Assam,124,2016,124,2016,NA,0,2,NA,NA,NA,Appearence,22,CR Summon,1,0,Criminal Case Summon,2023-03-05,0,NA,Additional Chief Judicial Magistrate,CJM,CJM,Criminal Trial,Criminal Trial,Disposed,"Others(Abated, Absconded
Allowed, Discharged, Dismissal, Disposed, Miscellaneous, Sec.258 Cr.P.C., Stopped, Untraced)",NA,NA,NA
UPSN040012032020,260100006992020,Chief Judicial Magistrate,2020-02-15,2022-05-14,2022-05-14,2022-05-14,2020-02-15,2020-02-15,35,Chief Judicial Magistrate Bhadohi,SETTLED IN LOK ADALAT,40,22,Bhadohi SR Nagar,13,Uttar Pradesh,1203,2020,699,2020,NA,0,2,KOTWALI GYANPUR,NA,NA,Hearing,26,Warrant or Summons Criminal Case,1,0,Warrant and Summons Criminal Case,2023-01-19,0,NA,Chief Judicial Magistrate,CJM,CJM,Criminal Trial,Criminal Trial,Conciliation/Compromise,Conciliation/Compromise,NA,NA,NA
UPSN040011932020,260100007062020,Chief Judicial Magistrate,2020-02-14,2021-09-11,2021-09-11,2021-09-11,2020-02-14,2020-02-14,35,Chief Judicial Magistrate Bhadohi,SETTLED IN LOK ADALAT,40,22,Bhadohi SR Nagar,13,Uttar Pradesh,1193,2020,706,2020,NA,0,2,BHADOHI,NA,NA,LOK ADALAT,64,Warrant or Summons Criminal Case,1,0,Warrant and Summons Criminal Case,2023-01-19,0,NA,Chief Judicial Magistrate,CJM,CJM,Criminal Trial,Criminal Trial,Conciliation/Compromise,Conciliation/Compromise,NA,NA,NA
ASBN070018252021,209800013542021,Sub-Divisional Judicial Magistrate,2021-12-28,2023-03-01,2023-05-02,NA,2021-12-28,2021-12-28,1,Sub-Divisional Judicial Magistrate,NA,0,9,Bongaigaon,6,Assam,1354,2021,1354,2021,760,2021,0,Abhayapuri,NA,NA,Evidence,76,PRC Case,1,0,PRC,2023-03-05,0,NA,SDJM,JMFC,JMFC,Criminal Trial,Criminal Trial,Pending,Pending,NA,NA,NA
ASBN030025332019,207300004172019,Chief Judicial Magistrate,2019-11-04,2021-10-25,2021-10-25,2021-10-25,2019-11-04,2019-11-04,4,CJM Bongaigaon,Committed,46,9,Bongaigaon,6,Assam,2337,2019,417,2019,26,2019,2,Dhaligaon,NA,NA,Copy,77,PRC Case,1,0,PRC,2023-03-05,0,NA,Chief Judicial Magistrate,CJM,CJM,Criminal Trial,Criminal Trial,Committal,Committal,NA,NA,NA
BRAR020007102017,215900000612017,CJM DIVISION,2017-03-03,2023-01-03,2023-03-13,NA,2017-02-06,2017-02-06,5,CJM,NA,0,24,Araria,8,Bihar,707,2017,61,2017,NA,0,0,FORBESGANJ,NA,NA,Appearence,121,Cr. Case Complaint (O),1,0,Complaint Case Criminal,2023-01-19,0,NA,Chief Judicial Magistrate,CJM,CJM,Criminal Trial,Criminal Trial,Pending,Pending,NA,NA,NA
BRAR020045592016,215900159292016,CJM DIVISION,2017-08-30,2022-12-12,2023-02-09,NA,2016-02-08,2016-02-08,8,SDJM,NA,0,24,Araria,8,Bihar,15929,2016,15929,2016,NA,0,0,NA,NA,NA,Appearence,121,Cr. Case Complaint (O),1,0,Complaint Case Criminal,2023-01-19,0,NA,SDJM,JMFC,JMFC,Criminal Trial,Criminal Trial,Pending,Pending,NA,NA,NA
ASBN030015122021,207300003972021,Chief Judicial Magistrate,2021-07-27,2023-01-07,2023-01-07,2023-01-07,2021-07-27,2021-07-27,4,CJM Bongaigaon,Withdrawal,53,9,Bongaigaon,6,Assam,1545,2021,397,2021,943,2020,2,Bongaigaon,NA,NA,Evidence,76,PRC Case,1,0,PRC,2023-03-05,0,NA,Chief Judicial Magistrate,CJM,CJM,Criminal Trial,Criminal Trial,Dismissal,"Others(Abated, Absconded
Allowed, Discharged, Dismissal, Disposed, Miscellaneous, Sec.258 Cr.P.C., Stopped, Untraced)",NA,NA,NA
ASGL030010192021,210800008222021,GLT_CJM_ESTT,2021-07-22,2023-01-12,2023-03-10,NA,2021-07-22,2021-07-22,3,Chief Judicial Magistrate,NA,0,19,Golaghat,6,Assam,1019,2021,822,2021,514,2020,0,GOLAGHAT,NA,NA,Evidence,76,PRC,1,0,PRC,2023-03-05,0,NA,Chief Judicial Magistrate,CJM,CJM,Criminal Trial,Criminal Trial,Pending,Pending,NA,NA,NA
