cino,date,from_court_no,from_judge,to_court_no,to_judge
ASLK030012292019,2020-03-04,9,Chief Judicial Magistrate,5,Addl. Chief Judicial Magistrate
AS07050000622018,2018-08-07,1,SDJM(M),2,MUNSIFF CUM JMFC
ASLK030003242021,2022-11-15,4,Chief Judicial Magistrate,9,Judicial Magistrate 1st Class
ASLK010007332017,2018-08-29,1,District &amp; Sessions Judge,2,Addl. District & Sessions Judge ( FTC)
ASLK030015842022,2022-12-16,5,Addl. Chief Judicial Magistrate,6,Sub Divisional Judicial Magistrate
BRNW020063192016,2017-09-20,NA,NA,26,ACJM2
ASLK030004792022,2022-08-22,6,Sub Divisional Judicial Magistrate,9,Judicial Magistrate 1st Class
ASLK030014332018,2019-12-27,9,Judicial Magistrate 1st Class,6,Sub Divisional Judicial Magistrate
ASLK030014332018,2022-07-19,6,Sub Divisional Judicial Magistrate,4,Chief Judicial Magistrate
ASLK030014332018,2022-12-21,4,Chief Judicial Magistrate,6,Sub Divisional Judicial Magistrate
ASLK010009102021,2021-12-22,1,District &amp; Sessions Judge,12,Addl. Sessions Judge -cum- Special Judge (POCSO)
ASSV030006602020,2022-01-28,4,"Chief Judicial Magistrate, Sivasagar",14,Sub Divisional Judicial Magistrate ( S)
ASSV030006602020,2022-01-28,12,"Addl. Chief Judicial Magistrate, Sivasagar",4,"Chief Judicial Magistrate, Sivasagar"
ASSV030014142019,2020-06-10,14,Sub Divisional Judicial Magistrate ( S),4,"Chief Judicial Magistrate, Sivasagar"
ASSV030014142019,2020-06-11,4,"Chief Judicial Magistrate, Sivasagar",12,"Addl. Chief Judicial Magistrate, Sivasagar"
ASSV030014142019,2020-12-14,12,"Addl. Chief Judicial Magistrate, Sivasagar",4,"Chief Judicial Magistrate, Sivasagar"
ASSV030014142019,2020-12-15,4,"Chief Judicial Magistrate, Sivasagar",13,"Judicial Magistrate 1st Class, Sivasagar"
ASSV030000472020,2020-06-12,14,Sub Divisional Judicial Magistrate ( S),4,"Chief Judicial Magistrate, Sivasagar"
ASSV030000472020,2020-06-17,4,"Chief Judicial Magistrate, Sivasagar",9,"Judicial Magistrate 1st Class, Sivasagar"
ASSV010000022017,2017-02-04,2,"Addl. Dist. and Sessions Judge(FTC), Special Judge  cum Addl. member MACT, Sivasagar",11,Circuit Court Addl Dist. and Sessions  Judge
ASSV010000022017,2017-02-04,1,"Dist and Sessions cum special Judge cum member  MACT cum President(DCDRF), Sivasagar",2,"Addl. Dist. and Sessions Judge(FTC), Special Judge  cum Addl. member MACT, Sivasagar"
ASSV030011002019,2020-06-10,14,Sub Divisional Judicial Magistrate ( S),4,"Chief Judicial Magistrate, Sivasagar"
ASSV030011002019,2020-06-11,4,"Chief Judicial Magistrate, Sivasagar",12,"Addl. Chief Judicial Magistrate, Sivasagar"
ASSV030011002019,2021-02-05,12,"Addl. Chief Judicial Magistrate, Sivasagar",4,"Chief Judicial Magistrate, Sivasagar"
ASSV030011002019,2021-02-06,4,"Chief Judicial Magistrate, Sivasagar",14,Sub Divisional Judicial Magistrate ( S)
ASSV030011002019,2021-08-09,14,Sub Divisional Judicial Magistrate ( S),4,"Chief Judicial Magistrate, Sivasagar"
ASSV030011002019,2021-08-16,4,"Chief Judicial Magistrate, Sivasagar",12,"Addl. Chief Judicial Magistrate, Sivasagar"
ASSV030011002019,2022-01-28,4,"Chief Judicial Magistrate, Sivasagar",14,Sub Divisional Judicial Magistrate ( S)
ASSV030011002019,2022-01-28,12,"Addl. Chief Judicial Magistrate, Sivasagar",4,"Chief Judicial Magistrate, Sivasagar"
ASSV030089312022,2022-09-28,14,Sub Divisional Judicial Magistrate ( S),9,"Judicial Magistrate 1st Class, Sivasagar"
ASSV030012242019,2020-06-10,14,Sub Divisional Judicial Magistrate ( S),4,"Chief Judicial Magistrate, Sivasagar"
ASSV030012242019,2020-06-12,4,"Chief Judicial Magistrate, Sivasagar",9,"Judicial Magistrate 1st Class, Sivasagar"
ASSV030012242019,2020-12-14,9,"Judicial Magistrate 1st Class, Sivasagar",4,"Chief Judicial Magistrate, Sivasagar"
ASSV030012242019,2020-12-15,4,"Chief Judicial Magistrate, Sivasagar",13,"Judicial Magistrate 1st Class, Sivasagar"
ASSV030000572020,2020-06-10,14,Sub Divisional Judicial Magistrate ( S),4,"Chief Judicial Magistrate, Sivasagar"
ASSV030000572020,2020-06-12,4,"Chief Judicial Magistrate, Sivasagar",9,"Judicial Magistrate 1st Class, Sivasagar"
ASSV030000572020,2021-02-05,9,"Judicial Magistrate 1st Class, Sivasagar",4,"Chief Judicial Magistrate, Sivasagar"
ASSV030000572020,2021-02-06,4,"Chief Judicial Magistrate, Sivasagar",14,Sub Divisional Judicial Magistrate ( S)
ASSN030010342019,2023-01-05,7,"Chief Judicial Magistrate,",6,"Addl. Chief Judicial Magistrate,"
ASSN030076852016,2021-02-04,6,"Addl. Chief Judicial Magistrate,",12,"Judicial Magistrate, 1st Class"
ASSN030048242015,2021-02-05,7,"Sub Divisional Judicial Magistrate (S),",10,"Judicial Magistrate, 1st Class,"
ASSN030048242015,2023-01-19,10,"Judicial Magistrate, 1st Class,",9,"Judicial Magistrate, 1st Class,"
ASUA010000092023,2023-01-09,6,Chief Judicial Magistrate,NA,"District And Sessions Court, Udalguri"
ASUA030000402023,2023-01-21,1,District And Sessions Judge,3,Civil Judge Cum Assistant Sessions Judge
ASUA030003692022,2022-07-20,1,District And Sessions Judge,3,Civil Judge Cum Assistant Sessions Judge
ASUA010005702022,2022-07-02,6,Chief Judicial Magistrate,NA,"District And Sessions Court, Udalguri"
ASDH030015882020,2023-01-09,2,Additional Chief Judicial Magistrate,6,JMFC2
ASCH020002152019,2020-06-12,2,Judicial Magistrate First Class,1,Chief Judicial Magistrate
ASCH020002242015,2021-05-17,5,Addl. Chief Judicial Magistrate,4,Sub Divisional Judicial Magistrate (S)
ASCH020002242015,2021-07-29,NA,NA,5,Addl. Chief Judicial Magistrate
ASCH020002242015,2022-10-26,5,Addl. Chief Judicial Magistrate,6,Judicial Magistrate First Class
