CIN/LLPIN,Legal_Name,Purchaser_Entries,Donor_Type,TotalNumberBonds,TotalDonorAmount,PayBranchCodes,PayTellers
U51901TZ1991PTC003583,FUTURE GAMING AND HOTEL SERVICES PRIVATE LIMITED,FUTURE GAMING AND HOTEL SERVICES PRIVATE LIMITED;FUTURE GAMING AND HOTEL SERVICES PVT LTD;FUTURE GAMING AND HOTEL SERVICES PR,FUTURE GAMING AND HOTEL SERVICES PRIVATE LIMITED,3,13680000000,800;800;300;691,7910576;5972302;7905165;7273126;4004833;7310854;7310854;7273126
U45202TG2006PLC050271,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED;MEGHA ENGINEERING AND INFRASTRUCTURES LTD;MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,3,9660000000,847,8424020;6458726;6417329;6422705;6390129;7445512;6371213;7450648;3394387;3898296;3878309
U51100MH2000PTC129528,QWIK SUPPLY CHAIN PRIVATE LIMITED,QWIKSUPPLYCHAINPRIVATELIMITED,QWIK SUPPLY CHAIN PRIVATE LIMITED,1,4100000000,300,7905165;4180496;1022034
L13209MH1965PLC291394,VEDANTA LIMITED,VEDANTA LTD;VEDANTA LIMITED,VEDANTA LIMITED,2,4006500000,300;691;691,3300196;2039265;8212066;5972302;7905165;7516991;3428540
U74210WB1994PLC066154,HALDIA ENERGY LIMITED,HALDIA ENERGY LIMITED,HALDIA ENERGY LIMITED,1,3770000000,1;691,5898161;5054982;6405134;5899230;7516991
U51109WB1950PLC018728,ESSEL MINING & INDUSTRIES LTD.,ESSEL MINING AND INDS LTD,ESSEL MINING & INDUSTRIES LTD.,1,2245000000,1,6405134;5899230
U40105UP2009PLC038219,WESTERN U. P. POWER TRANSMISSION COMPANY LIMITED,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,WESTERN U. P. POWER TRANSMISSION COMPANY LIMITED,1,2200000000,847,6458726
L74899HR1995PLC095967,BHARTI AIRTEL LIMITED,BHARTI AIRTEL LIMITEDAIRTEL CURRE NT AC-GCO;BHARTI AIRTEL LIMITED,BHARTI AIRTEL LIMITED,2,1980000000,691,3300196;3428540;8212066;5972302;7516991
U74999WB2010PLC150527,KEVENTER FOODPARK INFRA LIMITED,KEVENTER FOODPARK INFRA LIMITED,KEVENTER FOODPARK INFRA LIMITED,1,1950000000,1,5899230
L51909WB1982PLC035468,MKJ ENTERPRISES LTD,MKJ ENTERPRISES LTD;MKJ ENTERPRISES LIMITED,MKJ ENTERPRISES LTD,2,1924200000,1,5898161;6563457;5054982;6405134;6405134;5897386;5899230
L51909WB1983PLC036288,MADANLAL LTD,MADANLAL LTD.,MADANLAL LTD,1,1855000000,1,5899230
U13203OR1993PLC003416,UTKAL ALUMINA INTERNATIONAL LIMITED.,UTKAL ALUMINA INTERNATIONAL LTD;UTKAL ALUMINA INTERNATIONAL LIMITED,UTKAL ALUMINA INTERNATIONAL LIMITED.,2,1453000000,300,4180496;7905165;4180496;1022034
U70101DL2002PLC113636,DLF COMMERCIAL DEVELOPERS LIMITED,DLF COMMERCIAL DEVELOPERS LIMITED,DLF COMMERCIAL DEVELOPERS LIMITED,1,1300000000,691,3428540;2039265;3723135;7516991
L27105HR1979PLC009913,JINDAL STEEL AND POWER LIMITED,JINDAL STEEL AND POWER LIMITED,JINDAL STEEL AND POWER LIMITED,1,1230000000,691,8212066;5972302
U45201PN1994PTC077340,B. G. SHIRKE CONSTRUCTION TECHNOLOGY PRIVATE LIMITED,BG SHIRKE CONSTRUCTION TECHNOLOGY PVT LTD;B G SHIRKE CONSTRUCTION TECHNOLOGY PVT L TD,B. G. SHIRKE CONSTRUCTION TECHNOLOGY PRIVATE LIMITED,2,1185000000,300,7905165;1022034;4180496
U70109WB2006PLC111457,DHARIWAL INFRASTRUCTURE LIMITED,DHARIWAL INFRASTRUCTURE LIMITED,DHARIWAL INFRASTRUCTURE LIMITED,1,1150000000,1,5898161;5054982;6405134
U51420WB1988PTC045422,AVEES TRADING & FINANCE PVT LTD.,AVEES TRADING & FINANCE PVT LTD;AVEES TRADING AND FINANCE PVT LTD;AVEES TRADING FINANCE PVT LTD,AVEES TRADING & FINANCE PVT LTD.,3,1125000000,1,5899230;5898161;6563457;5054982;6405134;6405134
L31200GJ2004PLC044068,TORRENT POWER LIMITED,TORRENT POWER LTD;TORRENT POWER LIMITED,TORRENT POWER LIMITED,2,1065000000,1355,5137969;5140277;5132819;1023671;5137969
U23201MH2013PTC241741,BIRLA CARBON INDIA PRIVATE LIMITED,BIRLACARBONINDIAPRIVATELIMITED,BIRLA CARBON INDIA PRIVATE LIMITED,1,1050000000,300,4180496;1022034
U45202KA2006PTC038465,CHENNAI GREEN WOODS PRIVATE LIMITED,CHENNAI GREEN WOODS PRIVATE LIMITED,CHENNAI GREEN WOODS PRIVATE LIMITED,1,1050000000,847,3394387;3898296;6458726
U02005WB1943PTC011231,RUNGTA SONS PVT LTD,RUNGTA SONS P LTD,RUNGTA SONS PVT LTD,1,1000000000,1,5898161;6405134
L01409WB1982PLC034590,IFB AGRO INDUSTRIES LTD.,IFB AGRO INDUSTRIES LIMITED,IFB AGRO INDUSTRIES LTD.,1,923000000,1,5898161;5054982;6405134
L85195TG1984PLC004507,DR.REDDYS LABORATORIES LTD,DR.REDDY'S LABORATORIES LTD;DR REDDYS LABORATORIES LIMITED,DR.REDDYS LABORATORIES LTD,2,840000000,847,8424020;6458726;6422705;7441010;7445512;3394387
L23109WB1960PLC024602,PHILLIPS CARBON BLACK LTD,PHILIPS CARBON BLACK LTD;PHILLIPS CARBON BLACK LIMITED;PCBL LIMITED,PHILLIPS CARBON BLACK LTD,3,800000000,1,5899230;6405134;5899230;5898161;5054982;6405134
U74992GJ2010PTC125116,PRARAMBH SECURITIES PRIVATE LIMITED,PRARAMBH SECURITIES PVT LTDOWN A/C;PRARAMBH SECURITIES PVT LTDPROPRIET,PRARAMBH SECURITIES PRIVATE LIMITED,2,787500000,300,7905165;1022034;7905165
L24230GJ1972PLC002126,TORRENT PHARMACEUTICALS LTD,TORRENT PHARMACEUTICALS LTD;TORRENT PHARMACEUTICALS LIMITED,TORRENT PHARMACEUTICALS LTD,2,775000000,1355,5137969;1023671;5137969;5140277;5132819;1023671
L24230TG1981PLC003201,NATCO PHARMA LIMITED,NATCO PHARMA LIMITED;NATCO PHARMA LTD,NATCO PHARMA LIMITED,2,692500000,847,7445512;6390129;6371213;6458726;3394387
U14107WB1991PLC053043,RASHMI CEMENT LIMITED,RASHMI CEMENT LTD,RASHMI CEMENT LIMITED,1,635000000,1,5898161;5054982;6405134
U67120MH1996PTC098584,INFINA FINANCE PRIVATE LIMITED,INFINA FINANCE PRIVATE LIMITED,INFINA FINANCE PRIVATE LIMITED,1,600000000,300,7905165;6830668
L72200AP1990PLC011146,NCC LIMITED,NCC LIMITED,NCC LIMITED,1,600000000,847,6390129;6422705
U45203AP1986PLC006925,NAVAYUGA ENGINEERING COMPANY LIMITED,NAVAYUGA ENGINEERING CO LTD;NAVAYUGA ENGINEERING COMPANY LIMITED,NAVAYUGA ENGINEERING COMPANY LIMITED,2,550000000,847,8424020;6390129;6422705
L24110TG1990PLC011854,DIVI'S LABORATORIES LIMITED,DIVI S LABORATORIES LIMITED,DIVI'S LABORATORIES LIMITED,1,550000000,847,7445512;6458726
L26941TN1957PLC003566,THE RAMCO CEMENTS LIMITED,THE RAMCO CEMENTS LIMITED,THE RAMCO CEMENTS LIMITED,1,540000000,800,7273126;7910576;1019582
U45203MH1994PTC077075,MODERN ROAD MAKERS P LTD,MODERN ROAD MAKERS PVT. LTD.;MODERN ROAD MAKERS PVT LTD,MODERN ROAD MAKERS P LTD,2,530000000,300,7905165;4180496;7905165
L24239TG1986PLC015190,AUROBINDO PHARMA LTD,AUROBINDO PHARMA LIMITED;AUROBINDO PHARMA LTD,AUROBINDO PHARMA LTD,2,520000000,847,6458726;3394387;7445512;3898296;6371213;3394387
AAA-4124,UNITED PHOSPHORUS (INDIA) LLP,UNITED PHOSPHORUS INDIA LLP,UNITED PHOSPHORUS (INDIA) LLP,1,500000000,300,7905165
U11520WB1996PTC081784,TRANSWAYS EXIM PRIVATE LIMITED,TRANSWAYS EXIM PRIVATE LTD;TRANSWAYS EXIM PVT LTD;TRANSWAYS EXIM PRIVATE LIMITED,TRANSWAYS EXIM PRIVATE LIMITED,3,470000000,1,5898161;6563457;5054982;6405134;6405134;5899230;6405134
U45200TG1999PTC031431,RITHWIK PROJECTS PRIVATE LIMITED,RITHWIK PROJECTS PRIVATE LIMITED,RITHWIK PROJECTS PRIVATE LIMITED,1,450000000,847,7445512
